id,slug,mode,wake_source,status,tool_rounds,input_tokens,output_tokens,cache_read_tokens,cache_create_tokens,cost_usd,duration_ms,created_at
23306239-fcf1-4d90-9bf3-5f98d61f8d00,addressed,judgment,addressed,success,2,34618,1559,22180,22180,0.11577,24474,2026-05-27T02:05:20.638792+00:00
c18393fd-a21f-42c3-8974-7d0241cff534,pre-ship-audit,judgment,substrate_event,success,9,62513,5852,326812,49762,0.298651,75827,2026-05-27T02:06:39.555924+00:00
ab79d6d7-20c5-45bf-9eed-d521b8876a0c,pre-ship-audit,judgment,substrate_event,success,8,52201,5033,263573,44296,0.254549,64000,2026-05-27T02:07:43.701317+00:00
81af6fc2-f2e7-4109-a4ea-1ef05c5edde1,pre-ship-audit,judgment,substrate_event,success,8,50173,4531,253823,38160,0.233456,64338,2026-05-27T02:09:12.279529+00:00
