id,slug,mode,wake_source,status,tool_rounds,input_tokens,output_tokens,cache_read_tokens,cache_create_tokens,cost_usd,duration_ms,created_at
da5a34fc-0414-4da4-b180-bbacbc4fe611,addressed,judgment,addressed,success,9,47223,3574,283520,60166,0.269844,50675,2026-05-28T02:34:44.944724+00:00
6448bfa9-f215-4097-9058-e62686ac8320,addressed,judgment,addressed,success,4,35282,2371,91660,35268,0.160621,37874,2026-05-28T02:35:28.847244+00:00
8232a21b-dd04-4049-abd1-f05553a366e6,pre-ship-audit,judgment,substrate_event,success,4,32476,1967,91660,30228,0.142819,24982,2026-05-28T02:35:59.639144+00:00
427462e7-d240-4088-a437-003997c20312,pre-ship-audit,judgment,substrate_event,success,6,34644,1334,163893,27867,0.148059,19631,2026-05-28T02:36:19.475058+00:00
1fb289d6-5dc2-4d4a-8548-ad5624b3e35a,pre-ship-audit,judgment,substrate_event,success,5,38722,3027,131603,36290,0.179808,42884,2026-05-28T02:37:02.590953+00:00
068f9356-b78d-4ce9-8eec-73ecc72e5130,addressed,judgment,addressed,success,5,36023,2135,127672,28954,0.153052,58199,2026-05-28T02:37:32.019911+00:00
c2d12b4d-bb3e-4f20-894c-0995caea3157,addressed,judgment,addressed,success,3,28028,1280,68745,14005,0.094094,22230,2026-05-28T02:37:57.651007+00:00
2474c328-7e56-46be-a321-c665ab1549bc,addressed,judgment,addressed,success,4,31828,2091,91660,29550,0.141418,30972,2026-05-28T02:38:31.332219+00:00
fc3d64ba-4160-4bfa-b8de-e298ceeab8f4,addressed,judgment,addressed,success,3,32141,2654,68745,16822,0.117301,37631,2026-05-28T02:39:11.680031+00:00
0e9a2f05-f29c-4713-9769-836727c071d0,addressed,judgment,addressed,success,4,33716,2722,91660,33210,0.156807,39250,2026-05-28T02:39:53.909223+00:00
