id,slug,mode,wake_source,status,tool_rounds,input_tokens,output_tokens,cache_read_tokens,cache_create_tokens,cost_usd,duration_ms,created_at
ac80659c-03e8-45f5-a862-5014918c53c1,track-account,mechanical,manual_fire,success,,,,,,,1171,2026-06-08T02:26:20.375813+00:00
740fa1a4-33ef-4630-984e-2887965cafb9,track-regime,mechanical,manual_fire,success,,,,,,,1634,2026-06-08T02:26:22.181035+00:00
76f30e06-8efd-4757-9a97-74d2142e0827,signal-evaluation,judgment,manual_fire,success,9,46393,3653,214402,55887,0.249531,46529,2026-06-08T02:27:08.883728+00:00
