id,slug,mode,wake_source,status,tool_rounds,input_tokens,output_tokens,cache_read_tokens,cache_create_tokens,cost_usd,duration_ms,created_at
546ba572-f31d-4279-a652-eccb340761c2,addressed,judgment,addressed,success,9,40040,1992,274786,57466,0.238898,37111,2026-05-28T04:24:44.893059+00:00
c7c683bf-c5a5-4ae6-a9a0-fd89c641424d,addressed,judgment,addressed,success,5,44593,2510,134174,41264,0.195425,40656,2026-05-28T04:25:30.452473+00:00
e27472ca-34d4-48eb-8741-e8debbb137a8,addressed,judgment,addressed,success,7,44330,6262,221045,39254,0.234899,82189,2026-05-28T04:26:55.327429+00:00
77dec12b-5ba3-4e82-b46f-d765f8c0c6b8,addressed,judgment,addressed,success,3,30756,849,68745,14869,0.096739,21613,2026-05-28T04:27:19.66736+00:00
6d3c4542-b6a3-40e1-9106-4b26ecaefa3c,addressed,judgment,addressed,success,2,29205,529,45830,0,0.058293,14191,2026-05-28T04:27:36.898558+00:00
cac50cba-0aa0-406f-8f29-9419c2adee58,addressed,judgment,addressed,success,3,29109,815,68745,14347,0.092788,23317,2026-05-28T04:28:02.916017+00:00
26234ce7-587b-4232-9f69-68dad72f0446,addressed,judgment,addressed,success,4,35505,3424,91660,30742,0.16035,47240,2026-05-28T04:28:53.069813+00:00
b03de355-3d78-4d91-b149-2c477ef0ec81,addressed,judgment,addressed,success,6,38720,3337,172281,34985,0.186183,48038,2026-05-28T04:29:43.807773+00:00
a6a5c4c6-b816-4f69-ab5b-bb09bd20a4cd,pre-ship-audit,judgment,substrate_event,success,5,37809,3145,132872,36594,0.180102,42686,2026-05-28T04:31:24.285172+00:00
b4437c14-57a6-4541-8043-52f0911becbd,pre-ship-audit,judgment,substrate_event,success,3,34481,2990,68745,19049,0.128187,33090,2026-05-28T04:31:57.593317+00:00
dc669697-4bea-4f63-a663-68652b0831f5,pre-ship-audit,judgment,substrate_event,success,6,41689,2868,168937,32180,0.181036,37860,2026-05-28T04:32:35.634883+00:00
