id,slug,mode,wake_source,status,tool_rounds,input_tokens,output_tokens,cache_read_tokens,cache_create_tokens,cost_usd,duration_ms,created_at
6937b644-9c15-4b5b-825b-7d6b3a986884,track-account,mechanical,manual_fire,success,,,,,,,1153,2026-06-04T07:06:18.962411+00:00
3784e444-a2ee-4724-b67f-6836c22cb219,track-universe,mechanical,manual_fire,success,,,,,,,5617,2026-06-04T07:06:24.803384+00:00
eccea224-1a76-49f7-b61a-edec680e15da,track-regime,mechanical,manual_fire,success,,,,,,,1709,2026-06-04T07:06:26.746488+00:00
365308f9-bb3a-4b33-9e15-2383d5bc2dea,addressed,judgment,addressed,success,9,40701,3379,205985,48189,0.221489,67608,2026-06-04T07:07:21.99826+00:00
5aed57b0-8153-4299-a110-4ff861293ffe,track-account,mechanical,manual_fire,success,,,,,,,877,2026-06-04T07:08:51.278691+00:00
e9644c12-9018-46b3-b721-bd30415c9abc,track-positions,mechanical,manual_fire,success,,,,,,,801,2026-06-04T07:08:52.292475+00:00
67b4e37e-a7fa-4307-a199-ce4dc82b1057,outcome-reconciliation,judgment,manual_fire,success,,,,,,,886,2026-06-04T07:08:54.056773+00:00
c4f0f0b8-0b70-499b-9fb3-9f02596b55d8,track-account,mechanical,manual_fire,success,,,,,,,834,2026-06-04T07:08:55.793197+00:00
259c4736-2cf2-4274-8491-63df1eb32d2e,track-positions,mechanical,manual_fire,success,,,,,,,805,2026-06-04T07:08:56.806011+00:00
c7a2c389-129f-439a-b0e5-18c0e5646cec,outcome-reconciliation,judgment,manual_fire,success,,,,,,,756,2026-06-04T07:08:57.779121+00:00
