id,slug,mode,wake_source,status,tool_rounds,input_tokens,output_tokens,cache_read_tokens,cache_create_tokens,cost_usd,duration_ms,created_at
7824ce0e-d7ae-4fbf-b625-278494f651d4,track-account,mechanical,manual_fire,success,,,,,,,1120,2026-06-08T01:22:17.54118+00:00
632735bd-21a6-4870-bab6-38e238c7b871,track-positions,mechanical,manual_fire,success,,,,,,,759,2026-06-08T01:22:18.466607+00:00
9526a9d0-4a27-4b4d-bb25-e28177893a07,track-regime,mechanical,manual_fire,success,,,,,,,1642,2026-06-08T01:22:20.261217+00:00
c44fc0a3-c52d-49c9-ae07-227cf37a0123,outcome-reconciliation,judgment,manual_fire,success,15,71504,6798,462667,62151,0.367119,82948,2026-06-08T01:23:43.359236+00:00
091e9735-6b33-4d60-add0-964332a4bb0e,track-account,mechanical,manual_fire,success,,,,,,,794,2026-06-08T01:23:45.477494+00:00
bdb08275-6439-4a4c-9926-7d99980fbf24,track-universe,mechanical,manual_fire,success,,,,,,,5281,2026-06-08T01:23:50.924125+00:00
2ad5991b-11fe-4329-9a19-a570551480da,addressed,judgment,addressed,success,5,37265,2930,89017,37322,0.171951,60684,2026-06-08T01:24:29.616432+00:00
656fd0fc-99c9-4641-b565-b8a24414345b,addressed,judgment,addressed,success,6,39372,4820,121523,36964,0.194927,77305,2026-06-08T01:25:47.611601+00:00
