id,slug,mode,wake_source,status,tool_rounds,input_tokens,output_tokens,cache_read_tokens,cache_create_tokens,cost_usd,duration_ms,created_at
0c4e5cd5-e4cb-4bf4-949d-366a4c43744b,track-account,mechanical,manual_fire,success,,,,,,,1180,2026-06-05T02:49:20.644655+00:00
17888470-65db-4793-bcf4-6ce2481e1d60,track-regime,mechanical,manual_fire,success,,,,,,,1630,2026-06-05T02:49:22.448494+00:00
0a99416a-9a06-4c95-9a05-a2881573bc46,addressed,judgment,addressed,success,6,41126,2553,117071,55233,0.215423,39667,2026-06-05T02:49:56.272995+00:00
c2ed6b7c-04a3-4e69-ad8c-55816c6c2aa8,signal-evaluation,judgment,manual_fire,success,9,47402,3670,217030,53583,0.247094,41421,2026-06-05T02:50:04.111334+00:00
21e73069-036f-49da-abbe-36034aa674e0,track-account,mechanical,manual_fire,success,,,,,,,813,2026-06-05T02:50:05.493272+00:00
b15a3e3b-d935-401b-a9ef-e61fc5b0108a,track-universe,mechanical,manual_fire,success,,,,,,,5453,2026-06-05T02:50:11.154608+00:00
