id,slug,mode,wake_source,status,tool_rounds,input_tokens,output_tokens,cache_read_tokens,cache_create_tokens,cost_usd,duration_ms,created_at
dafdd377-3e99-4ade-8908-2a7cf1c8c80b,track-account,mechanical,manual_fire,success,,,,,,,1103,2026-06-09T09:08:18.038113+00:00
d138b30f-93da-410f-b329-b8a8ac375be6,track-positions,mechanical,manual_fire,success,,,,,,,809,2026-06-09T09:08:18.997327+00:00
77f91dd6-a18f-4c55-8508-c373d82a3922,track-regime,mechanical,manual_fire,success,,,,,,,1669,2026-06-09T09:08:20.825448+00:00
56a2d2e9-d28a-4f1b-9fe3-8c8f696bc50e,outcome-reconciliation,judgment,manual_fire,success,15,54986,4843,452481,57745,0.314609,67843,2026-06-09T09:09:28.837676+00:00
0b043be0-24e4-4a67-a4d4-1c577e5d5b77,addressed,judgment,addressed,success,7,57975,3871,168179,47972,0.246581,57709,2026-06-09T09:10:33.860411+00:00
17fa31e6-0da7-4397-9717-8026b14194f8,addressed,judgment,addressed,success,4,44134,3485,56376,41806,0.191127,49567,2026-06-09T09:11:24.661879+00:00
599538a5-e6d5-41fa-9761-42b24cc5dc5e,addressed,judgment,addressed,success,4,43547,1713,56376,46860,0.186119,31726,2026-06-09T09:12:04.190872+00:00
