id,slug,mode,wake_source,status,tool_rounds,input_tokens,output_tokens,cache_read_tokens,cache_create_tokens,cost_usd,duration_ms,created_at
24bc7e4d-a2d5-477e-b3b3-921119457946,pre-ship-audit,judgment,substrate_event,success,8,41151,7663,188585,35753,0.228825,90951,2026-06-09T01:43:51.360753+00:00
6d655a09-7f0b-4bc0-9997-0ac10b4582da,pre-ship-audit,judgment,substrate_event,success,14,36960,17697,391406,36935,0.337207,203993,2026-06-09T01:47:46.11646+00:00
79402152-8ea4-474d-a88c-848b0a8c4f40,addressed,judgment,addressed,success,12,53056,5599,336760,43831,0.271225,77224,2026-06-09T01:49:08.731139+00:00
ea39e075-c5a9-4912-ac40-20a95bbcd2b3,addressed,judgment,addressed,success,4,36271,1694,56376,36104,0.152814,27560,2026-06-09T01:49:42.044999+00:00
092b2815-30a6-4150-a283-1253ad95ad61,pre-ship-audit,judgment,substrate_event,success,14,42664,19071,407838,39086,0.364256,223246,2026-06-09T01:54:02.531932+00:00
9eb29304-6b54-475d-8392-9cd00a9bd533,addressed,judgment,addressed,success,7,43142,4369,157164,39147,0.207419,59162,2026-06-09T01:55:13.024235+00:00
eb7636b4-440c-4642-9820-f81ee8e2d0df,addressed,judgment,addressed,success,5,38515,2832,87244,35013,0.168265,43955,2026-06-09T01:56:01.03538+00:00
